ID;Nom;Année de sortie;Classification;Durée (min);Note;Nombre de votant;Revenus;Genre1;Genre2;Genre3
406;Le voyage de Chihiro;2001;Tous publics;125;8,6;787 478;$10.06M;Animation; Adventure; Family
407;La vie est belle;1946;Tous publics;130;8,6;;;Drama; Family; Fantasy
408;Spider-Man: New Generation;2018;Tous publics;117;8,4;560 624;$190.24M;Animation; Action; Adventure
409;Your Name.;2016;Tous publics;106;8,4;285 185;$5.02M;Animation; Drama; Fantasy
410;Coco;2017;Tous publics;105;8,4;531 894;$209.73M;Animation; Adventure; Comedy
411;Le Retour du Jedi;1983;Tous publics;131;8,3;1 075 490;$309.13M;Action; Adventure; Fantasy
412;Toy Story;1995;Tous publics;81;8,3;1 015 842;$191.80M;Animation; Adventure; Comedy
413;Princesse Mononoké;1997;Tous publics;134;8,3;405 758;$2.38M;Animation; Action; Adventure
414;Toy Story 3;2010;Tous publics;103;8,3;853 369;$415.00M;Animation; Adventure; Comedy
415;Spider-Man: No Way Home;2021;Tous publics;148;8,2;792 747;$804.75M;Action; Adventure; Fantasy
416;Le château ambulant;2004;Tous publics;119;8,2;410 497;$4.71M;Animation; Adventure; Family
417;Le labyrinthe de Pan;2006;12;118;8,2;680 040;$37.63M;Drama; Fantasy; War
418;Monty Python : Sacré Graal !;1975;Tous publics;91;8,2;551 022;$1.23M;Adventure; Comedy; Fantasy
419;Demon Slayer - Kimetsu no Yaiba, le film : Le Train de l'Infini;2020;Tous publics avec avertissement;117;8,2;63 822;$47.70M;Animation; Action; Adventure
420;Tumbbad;2018;;104;8,2;;;Drama; Fantasy; Horror
421;La légende de Klaus;2019;7;96;8,2;;;Animation; Adventure; Comedy
422;Pirates des Caraïbes : La malédiction du Black Pearl;2003;Tous publics;143;8,1;1 151 364;$305.41M;Action; Adventure; Fantasy
423;Ratatouille;2007;Tous publics;111;8,1;763 898;$206.45M;Animation; Adventure; Comedy
424;Harry Potter et les Reliques de la Mort : partie 2;2011;Tous publics;130;8,1;898 557;$381.01M;Adventure; Family; Fantasy
425;Le magicien d'Oz;1939;Tous publics;102;8,1;409 654;$2.08M;Adventure; Family; Fantasy
426;Vice-versa;2015;Tous publics;95;8,1;734 398;$356.46M;Animation; Adventure; Comedy
427;Monstres & Cie;2001;Tous publics;92;8,1;930 114;$289.92M;Animation; Adventure; Comedy
428;Dragons;2010;Tous publics;98;8,1;759 575;$217.58M;Animation; Action; Adventure
429;Mon voisin Totoro;1988;Tous publics;86;8,1;351 604;$1.11M;Animation; Comedy; Family
430;Le septième sceau;1957;Tous publics;96;8,1;;;Drama; Fantasy;
431;Underground;1995;;170;8,1;59 570;$0.17M;Comedy; Drama; Fantasy
432;Les enfants loups, Ame & Yuki;2012;Tous publics;117;8,1;;;Animation; Drama; Family
433;Le temps des gitans;1988;;142;8,1;31 656;$0.28M;Comedy; Crime; Drama
434;OMG: Oh My God!;2012;;125;8,1;60 609;$0.92M;Comedy; Drama; Fantasy
435;Princess Bride;1987;Tous publics;98;8,0;435 489;$30.86M;Adventure; Comedy; Family
436;Zack Snyder's Justice League;2021;12;242;8,0;;;Action; Adventure; Fantasy
437;Big Fish;2003;Tous publics;125;8,0;447 774;$66.26M;Adventure; Drama; Fantasy
438;Aladdin;1992;Tous publics;90;8,0;435 318;$217.35M;Animation; Adventure; Comedy
439;Soul;2020;6;100;8,0;;;Animation; Adventure; Comedy
440;La Belle et la Bête;1991;Tous publics;84;8,0;463 590;$218.97M;Animation; Family; Fantasy
441;Un jour sans fin;1993;Tous publics;101;8,0;649 312;$70.91M;Comedy; Drama; Fantasy
